Rank,Model,MASE_mean,MASE_std,MAE_mean,RMSE_mean,ExactAccuracy_mean,Within1Accuracy_mean,Bias_mean,AbsBias
1,SBA,0.8112299691685579,0.07810760264411372,0.7047052543277664,0.9771111339622442,0.3972292127405374,0.917122956862147,0.007872594626197922,0.007872594626197922
2,Occurrence-Aware Tweedie,0.8191134170920146,0.09344502618358497,0.7084991992679021,0.964597219365333,0.3813899692417195,0.9277561707211673,0.07822389994661787,0.07822389994661787
3,XGBoost Tweedie,0.8209453111631312,0.09515263465607651,0.7098693408576731,0.9664091783026542,0.3809019039629884,0.9270253438064008,0.07768499453468568,0.07768499453468568
4,TSB,0.8224405895447516,0.07285435264091626,0.7129591499529729,0.976854893001855,0.38577111772032846,0.9193675487429777,0.054617555097994354,0.054617555097994354
5,Lag-7,1.0481375854714123,0.11429465200701688,0.9255776710134981,1.2970269718909286,0.3617288187295051,0.7857279036071074,0.019413304862858742,0.019413304862858742
